"GEO_ID","NAME","B19101C_001E","B19101C_001M","B19101C_002E","B19101C_002M","B19101C_003E","B19101C_003M","B19101C_004E","B19101C_004M","B19101C_005E","B19101C_005M","B19101C_006E","B19101C_006M","B19101C_007E","B19101C_007M","B19101C_008E","B19101C_008M","B19101C_009E","B19101C_009M","B19101C_010E","B19101C_010M","B19101C_011E","B19101C_011M","B19101C_012E","B19101C_012M","B19101C_013E","B19101C_013M","B19101C_014E","B19101C_014M","B19101C_015E","B19101C_015M","B19101C_016E","B19101C_016M","B19101C_017E","B19101C_017M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more",
"0100000US","United States","560094","5624","58359","1450","32921","1114","34574","1187","36899","1322","34643","1224","32742","1107","29888","1114","26678","1076","26466","1073","45883","1266","55021","1472","61895","1474","35423","1228","19813","817","17740","847","11149","631",
